,Player_ID,goals,assists,minutes_played,Appearances,goals_assists_per_90,goals_assists_per_game
1009,234523,27,2,6343,99,0.4114772189815545,0.29292929292929293
1010,234811,0,0,8533,89,0.0,0.0
1011,235412,0,1,1486,19,0.06056527590847914,0.05263157894736842
1012,235540,0,0,562,10,0.0,0.0
1013,236202,0,0,761,20,0.0,0.0
1014,236734,0,0,630,7,0.0,0.0
1015,236956,0,0,1088,14,0.0,0.0
1016,237499,0,0,1214,22,0.0,0.0
1017,237617,1,0,856,26,0.10514018691588785,0.038461538461538464
1018,238032,0,0,360,4,0.0,0.0
1019,238407,5,0,1977,33,0.2276176024279211,0.15151515151515152
1020,238486,0,0,708,14,0.0,0.0
1021,238717,0,1,746,18,0.12064343163538874,0.05555555555555555
1022,238865,0,0,434,11,0.0,0.0
1023,238868,6,7,8843,139,0.13230804025783105,0.09352517985611511
1024,239962,0,0,616,11,0.0,0.0
1025,240039,0,0,861,12,0.0,0.0
1026,240360,0,0,1709,21,0.0,0.0
1027,240692,0,0,1838,17,0.0,0.0
1028,240900,0,0,1610,29,0.0,0.0
1029,241391,1,2,1060,20,0.25471698113207547,0.15
1030,242295,0,0,562,11,0.0,0.0
1031,242301,0,0,90,1,0.0,0.0
1032,242497,5,6,8983,144,0.11020817098964711,0.0763888888888889
1033,242532,7,3,2573,65,0.3497862417411582,0.15384615384615385
1034,242548,9,9,5014,80,0.32309533306741123,0.225
1035,242827,0,0,180,2,0.0,0.0
1036,243541,16,3,4948,70,0.34559417946645105,0.2714285714285714
1037,245014,23,14,9917,148,0.33578703236865987,0.25
1038,245048,0,0,484,6,0.0,0.0
1039,245056,0,2,996,16,0.18072289156626506,0.125
1040,245893,0,0,831,11,0.0,0.0
1041,246204,4,1,3493,51,0.12882908674491841,0.09803921568627451
1042,246277,5,7,4621,100,0.233715645964077,0.12
1043,246291,8,2,11403,136,0.07892659826361484,0.07352941176470588
1044,246335,0,0,900,10,0.0,0.0
1045,246877,0,2,1555,26,0.1157556270096463,0.07692307692307693
1046,247189,0,0,705,10,0.0,0.0
1047,247250,8,4,8243,105,0.13102025961421812,0.11428571428571428
1048,247652,7,2,2338,32,0.34644995722840033,0.28125
1049,248213,0,0,43,1,0.0,0.0
1050,248330,3,1,4223,59,0.08524745441629174,0.06779661016949153
1051,248738,0,0,8392,88,0.0,0.0
1052,249303,0,0,210,9,0.0,0.0
1053,249471,0,0,3,1,0.0,0.0
1054,249513,3,2,6180,72,0.07281553398058252,0.06944444444444445
1055,249730,2,2,3625,43,0.0993103448275862,0.09302325581395349
1056,250845,4,6,14412,174,0.06244796003330558,0.05747126436781609
1057,251106,40,12,10851,163,0.43129665468620404,0.31901840490797545
1058,251680,0,1,408,8,0.22058823529411764,0.125
1059,251846,0,0,90,1,0.0,0.0
1060,251848,2,10,4536,87,0.23809523809523808,0.13793103448275862
1061,251876,3,10,8106,93,0.1443375277572169,0.13978494623655913
1062,251878,0,3,6943,81,0.03888808872245427,0.037037037037037035
1063,251883,0,0,5,1,0.0,0.0
1064,251888,0,0,1,1,0.0,0.0
1065,251892,0,0,1350,15,0.0,0.0
1066,251896,1,0,3257,49,0.0276327909118821,0.02040816326530612
1067,251897,9,4,2773,79,0.42192571222502706,0.16455696202531644
1068,252641,12,13,5919,110,0.3801317790167258,0.22727272727272727
1069,252667,0,3,4645,62,0.058127018299246505,0.04838709677419355
1070,252677,63,32,19589,254,0.4364694471387003,0.37401574803149606
1071,252688,0,0,30,1,0.0,0.0
1072,253267,0,0,5,1,0.0,0.0
1073,253765,0,0,893,10,0.0,0.0
1074,253839,9,1,4623,77,0.1946787800129786,0.12987012987012986
1075,253892,0,0,13,1,0.0,0.0
1076,254037,0,2,4199,57,0.042867349368897356,0.03508771929824561
1077,254290,0,2,214,12,0.8411214953271028,0.16666666666666666
1078,254476,0,0,90,1,0.0,0.0
1079,255284,1,11,5246,66,0.20587113991612654,0.18181818181818182
1080,255488,1,1,12628,141,0.014254038644282548,0.014184397163120567
1081,255493,0,0,1,1,0.0,0.0
